,GENEID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1148,ENSMUSG00000020604,Arsg,62.6574784291276,1.58949452624692,0.415674433548006,3.82389292668237,0.000131360979429,0.000699845607624
1149,ENSMUSG00000026080,Chst10,28.3270347177429,2.57989629637173,0.674762414134068,3.82341434900838,0.000131616325308,0.000700962188712
1150,ENSMUSG00000042632,Pla2g6,280.080476204853,0.629815592142496,0.164756988024166,3.82269425834683,0.000132001412291,0.000702524542063
1151,ENSMUSG00000036533,Cdc42ep3,496.594463757867,0.636065899547846,0.166496865032524,3.82028754369397,0.00013329618279,0.000708676720514
1152,ENSMUSG00000030677,Kif22,2249.65730385498,0.44950664908948,0.117698333909695,3.81914198916669,0.000133916665862,0.000711728511802
1153,ENSMUSG00000025921,Rdh10,189.249493445328,0.704896692839736,0.184618695924856,3.81812193672219,0.000134471460932,0.000714181472642
1154,ENSMUSG00000026027,Stradb,892.975751258131,0.760812540116832,0.199334908991713,3.81675514823378,0.000135218237152,0.000717898696171
1155,ENSMUSG00000021996,Esd,7144.33223490941,0.570229117834955,0.149482268560178,3.81469403245906,0.00013635176723,0.000723164826406
1156,ENSMUSG00000000916,Nsun5,395.80330521521,0.711170371047833,0.186465010869413,3.81396149192776,0.000136756786547,0.000724661274706
1157,ENSMUSG00000051627,Hist1h1e,10337.5840821195,0.410648506125529,0.107712176888681,3.81246130184454,0.000137589776615,0.000728217902007
1158,ENSMUSG00000029703,Lrwd1,1768.58774669569,0.622124607436281,0.163249417991914,3.81088407596708,0.000138470693953,0.000732374177926
1159,ENSMUSG00000040651,Fam208a,3660.69289400771,0.388919674568423,0.102092572645981,3.80948059676242,0.00013925903429,0.000736289481608
1160,ENSMUSG00000026429,Ube2t,486.502442234261,0.724168128210618,0.190184986619994,3.80770396801913,0.000140263038003,0.000741341943787
1161,ENSMUSG00000005583,Mef2c,6.57102501967512,6.20575423151162,1.63016425608594,3.80682756865971,0.000140760813875,0.000743459252876
1162,ENSMUSG00000000244,Tspan32,912.236932427433,0.564640096005962,0.148326319451711,3.80674244525959,0.000140809250675,0.000743459252876
1163,ENSMUSG00000022820,Ndufb4,1218.99820519504,0.530241677539571,0.139339369415201,3.80539742475485,0.000141576679167,0.000747253616404
1164,ENSMUSG00000028959,Fastk,737.703996557173,0.453193216886393,0.119226696215695,3.80110521612133,0.000144052112321,0.000759533977426
1165,ENSMUSG00000030844,Rgs10,567.693474632828,0.669947580916918,0.176339468962946,3.79919246018423,0.000145168329534,0.000765155988808
1166,ENSMUSG00000037887,Dusp8,126.237794621231,1.0926949664147,0.287944033661518,3.79481718207495,0.000147752286439,0.000778507661295
1167,ENSMUSG00000030699,Tbx6,37.124176632159,1.88812631480118,0.497787405882224,3.79303753467782,0.000148815651586,0.000783840899363
1168,ENSMUSG00000036777,Anln,4885.78383696393,0.341682310056477,0.090097454857853,3.79236361998848,0.000149220203017,0.000785701563976
1169,ENSMUSG00000025245,Lztfl1,956.902107985293,0.481243196854867,0.126975842724962,3.79003743174416,0.000150624584821,0.000792279109102
