"","GENEID","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2406","ENSMUSG00000026748","Plxdc2",76.8794201159979,-1.25587987009147,0.290154067962418,-4.3283207397738,1.50250552513741e-05,9.56520246406053e-05
"2407","ENSMUSG00000074259","Gramd2",11.5435641370365,-5.75758442483195,1.33066813232413,-4.32683723685172,1.51265652204729e-05,9.6258246565012e-05
"2408","ENSMUSG00000033985","Tesk2",252.473925058478,-1.75454946458369,0.405629253053558,-4.32550032172366,1.52186046611254e-05,9.68037240840769e-05
"2409","ENSMUSG00000022587","Ly6e",3779.9936074721,-0.887970018075385,0.205329932051775,-4.32460094445207,1.52808221192179e-05,9.71591334163802e-05
"2410","ENSMUSG00000009630","Ppp2cb",2773.65259463298,-0.452738459342856,0.104696382986787,-4.32429895309747,1.53017677213798e-05,9.72152072097706e-05
"2411","ENSMUSG00000041498","Kif14",425.319562308247,0.845490203957803,0.195522116206715,4.32426888763782,1.53038545076402e-05,9.72152072097706e-05
"2412","ENSMUSG00000040522","Tlr8",268.28622747461,-1.74914250335229,0.404500893861241,-4.32419935257872,1.5308681843048e-05,9.72152072097706e-05
"2413","ENSMUSG00000063810","Alms1",4491.53696019094,0.417951324962558,0.0966641385706571,4.32374747390993,1.53400880249563e-05,9.73742761202881e-05
"2414","ENSMUSG00000028999","Rint1",1347.4630913757,0.560875395182353,0.129745312436702,4.32289525262026,1.53994858065897e-05,9.7710821913643e-05
"2415","ENSMUSG00000030427","Lilra6",187.481664833333,-1.49503504901593,0.345882267519518,-4.32238131124072,1.54354122092069e-05,9.78982231090775e-05
"2416","ENSMUSG00000026457","Adipor1",2063.12169076977,0.661264669804405,0.153057962744662,4.32035457643947,1.55778688677765e-05,9.87608515926045e-05
"2417","ENSMUSG00000004837","Grap",49.3803005455535,-2.20150455625564,0.509589298108451,-4.32015461162043,1.55919918797718e-05,9.88094909484754e-05
"2418","ENSMUSG00000048497","Mmgt2",250.406220621818,-1.11502907944757,0.2581538288375,-4.3192428501591,1.56565421546404e-05,9.91775253029889e-05
